property_id,city,latitude,longitude,rooms,square_meters,floor_value,floor_count,building_type,build_year,centre_distance,listing_type,price
811891f98a870dfd6e414374a0a85560,szczecin,53.4285438,14.5528116,2.0,47.0,6.0,12.0,blockOfFlats,1981.0,0.79,sale,449000
adaf636d0c44d8d9325bce42403eefee,szczecin,53.4490931,14.5168436,3.0,88.22,1.0,2.0,apartmentBuilding,2000.0,4.09,sale,950000
74fef2ff7135bc70797a3fbfd7d44ed6,szczecin,53.4361,14.5412,1.0,33.31,1.0,4.0,blockOfFlats,1963.0,1.93,sale,380000
77cc78c75b0d09bf84d6d3124a28803c,szczecin,53.4474649390434,14.5578114013843,3.0,56.0,7.0,7.0,blockOfFlats,2018.0,2.68,sale,799000
7d0c31d5409caab173571cce3dcdf702,szczecin,53.4562131879767,14.5832223504052,3.0,68.61,4.0,4.0,blockOfFlats,1997.0,3.94,sale,599000
8b639c1fc538c7cee988ae5b4e80bd4f,szczecin,53.44545,14.55238,1.0,29.6,7.0,11.0,blockOfFlats,1970.0,2.52,sale,319000
abf85134e758b50c9c7027c818051d74,szczecin,53.438362,14.5562786,1.0,26.8,4.0,5.0,blockOfFlats,1960.0,1.69,sale,322000
baa9149591a5ca09d5fc10821da33e8a,szczecin,53.3654,14.6509,4.0,75.0,4.0,4.0,blockOfFlats,1980.0,8.78,sale,650000
35bb878c427e6c2cecbe7b96ce96b219,szczecin,53.4112998,14.5193061,3.0,68.94,3.0,4.0,blockOfFlats,1950.0,3.07,sale,540000
2aaeb8634fbc02efeebea19e71ae299f,szczecin,53.4187193,14.5445331,4.0,66.78,2.0,6.0,apartmentBuilding,2018.0,1.21,sale,749000
54b008613d848fd85b78f8f08c2ef4d1,szczecin,53.4110643,14.5272356,1.0,33.76,1.0,10.0,apartmentBuilding,2012.0,2.62,sale,399000
3059d26babe44dc3a1511ce18bbc95ae,szczecin,53.44088317,14.51178074,2.0,48.15,2.0,3.0,blockOfFlats,1930.0,3.79,sale,565000
8a76dc47307e47115111077966ee1a7b,szczecin,53.4231,14.5384,3.0,79.0,2.0,6.0,apartmentBuilding,2013.0,1.5,sale,950000
5485b7e4cc62aa4989cf940db172d31b,szczecin,53.4858,14.5775,2.0,50.0,3.0,3.0,blockOfFlats,2010.0,7.02,sale,429000
e4617bc60031e66437864b25ccdfa2ab,szczecin,53.4408512,14.528051,3.0,60.38,3.0,4.0,blockOfFlats,2003.0,2.92,sale,699000
d9b71f1857c7650f3920aee6d9920e36,szczecin,53.4279257,14.5404657,2.0,39.76,2.0,3.0,tenement,1930.0,1.45,sale,329000
84aac3db4602b8d1d6cc8b24aed6968d,szczecin,53.4285438,14.5528116,2.0,36.0,9.0,10.0,blockOfFlats,1980.0,0.79,sale,380000
af55d205738145610e8143a5efb11fe4,szczecin,53.4465,14.5782,3.0,42.42,2.0,10.0,blockOfFlats,1980.0,2.81,sale,559000
284322e58828bf097e924e26e19db44c,szczecin,53.44129217,14.56834316,1.0,30.94,2.0,10.0,blockOfFlats,1979.0,2.05,sale,309000
39a74b03b9a5041bcf5b770a8af33d62,szczecin,53.4159,14.5329,2.0,39.0,6.0,7.0,apartmentBuilding,2020.0,2.04,sale,550000
63e4081154ff5f43c892bfa30563bbfb,szczecin,53.4319,14.4861,4.0,83.3,4.0,4.0,blockOfFlats,2020.0,5.05,sale,1050000
997991ab617cf89d71f71bb93cc869c4,szczecin,53.43524198,14.55714224,3.0,47.55,7.0,10.0,blockOfFlats,1970.0,1.34,sale,489000
26d8bec410726e09011b10526783f10f,szczecin,53.45616459,14.49379921,4.0,63.0,1.0,4.0,blockOfFlats,1977.0,5.75,sale,660000
a2687a4baaa48044d25119d3e8dde9c6,szczecin,53.4222355,14.5417788,3.0,76.19,4.0,4.0,blockOfFlats,1995.0,1.28,sale,675000
c7317788b7c9f65d767ad8e677ea1de7,szczecin,53.45580911,14.53805351,3.0,45.5,2.0,4.0,blockOfFlats,1970.0,3.91,sale,499000
52e1810bf55f662b9d02964f8cf1ad3d,szczecin,53.4273184,14.543117,6.0,132.21,3.0,4.0,tenement,1930.0,1.26,sale,795000
8db5ab924f8499c920bad903761dd721,szczecin,53.432222,14.555833,1.0,25.08,5.0,5.0,tenement,1930.0,1.04,sale,309000
5667240dd7eb29713d07bfee401e05ce,szczecin,53.432222,14.555833,3.0,51.77,7.0,10.0,blockOfFlats,1967.0,1.04,sale,409000
9c572ac96a395e98e8335f5f7466b0d4,szczecin,53.4222,14.5565,3.0,79.5,4.0,5.0,apartmentBuilding,2007.0,0.32,sale,870000
b56a8926f2079a5af29eec2ebd7935cf,szczecin,53.4230495,14.4471272,3.0,62.88,4.0,8.0,blockOfFlats,1980.0,7.54,sale,482000
e689c4a07f9f0fed379d8bb94a60b765,szczecin,53.3658,14.6614,3.0,69.0,3.0,3.0,blockOfFlats,2005.0,9.24,sale,639000
6febe33b4e73f37958416fb97b501d17,szczecin,53.3658,14.6614,3.0,64.2,3.0,3.0,blockOfFlats,2000.0,9.24,sale,519000
2dcad0f99fed10e77fbc56847c408290,szczecin,53.4352,14.5636,3.0,60.7,1.0,4.0,blockOfFlats,2000.0,1.32,sale,450000
d96ca644f596e4b9de45302ad67e4200,szczecin,53.4307,14.4844,2.0,70.0,3.0,4.0,blockOfFlats,2003.0,5.14,sale,370000
8d43796bd5c922402ae1e6f13e8cb5a8,szczecin,53.4231,14.5421,2.0,52.93,3.0,4.0,tenement,1950.0,1.25,sale,585000
b1a2d3ec384f692a6530e4b0413f97f5,szczecin,53.4032593,14.5198134,2.0,48.0,4.0,4.0,blockOfFlats,1980.0,3.53,sale,449000
